name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Honda City i DTEC V,0.785714286,560000,0.091742107,1,1,1,2
Maruti Wagon R VXI BS IV with ABS,0.785714286,290000,0.079344357,4,1,1,2
Maruti Wagon R VXI BS IV,0.714285714,275000,0.074385258,4,1,1,2
Mahindra Scorpio LX,0.607142857,411000,0.148771755,1,1,1,2
Hyundai Santro Xing GLS,0.607142857,150000,0.097940982,4,1,1,4
Hyundai Grand i10 1.2 Kappa Asta,0.964285714,500000,0.018595385,4,1,1,0
Maruti Alto LXi,0.5,100000,0.099180757,4,1,1,0
Maruti Swift Dzire VDI Optional,0.892857143,725000,0.022934597,1,0,1,0
Maruti Eeco 5 Seater AC BSIV,0.928571429,401000,0.012644465,4,0,1,0
Hyundai i20 Sportz 1.4 CRDi,0.928571429,750000,0.035952234,1,0,1,0
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,0.928571429,310000,0.034712459,4,0,1,0
Maruti Swift ZDi BSIV,0.857142857,665000,0.057028408,1,0,1,0
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,0.785714286,465000,0.086783007,1,0,1,0
Maruti Alto LXi,0.714285714,160000,0.074385258,4,1,1,2
Mahindra Jeep CL 500 MDI,0.142857143,250000,0.043390884,1,1,1,2
Honda City i DTEC VX,0.785714286,675000,0.111578506,1,0,1,0
Maruti Wagon R VXI BS IV,0.75,300000,0.099180757,4,0,1,0
Tata Indica DLS,0.464285714,70000,0.099180757,1,1,1,0
Hyundai EON Magna Plus,0.785714286,240000,0.090874265,4,0,1,2
Toyota Etios GD,0.785714286,525000,0.114058056,1,0,1,0
Maruti Alto LXi,0.607142857,151000,0.082771095,4,0,1,2
Maruti Alto LXi,0.607142857,140000,0.123976256,4,1,1,0
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,0.642857143,280000,0.433919995,1,1,1,2
Toyota Corolla Altis Diesel D4DG,0.678571429,350000,0.285147,1,1,1,0
Mahindra Scorpio 1.99 S6 Plus,0.892857143,570000,0.074385258,1,1,1,0
Hyundai EON Magna Plus,0.928571429,300000,0.038431784,4,1,1,0
Tata Indigo Classic Dicor,0.535714286,100000,0.048349984,1,1,1,0
Toyota Innova 2.5 V Diesel 8-seater,0.607142857,500000,0.148771755,1,1,1,4
Tata Indica Vista Quadrajet LS,0.785714286,125000,0.205801403,1,1,1,1
Maruti Swift 1.3 VXi,0.5,130000,0.136374005,4,1,1,4
Ford EcoSport 1.5 Diesel Titanium BSIV,0.892857143,925000,0.043390884,1,1,1,0
Maruti Ciaz 1.3 Delta,0.928571429,750000,0.074385258,1,1,1,0
Honda Civic 1.8 V AT,0.535714286,200000,0.066946608,4,1,0,2
Hyundai i10 Sportz 1.2,0.642857143,248000,0.078104582,4,1,1,2
Skoda Rapid 1.5 TDI Elegance,0.785714286,450000,0.148771755,1,1,1,2
Hyundai Getz GLS,0.464285714,80000,0.148771755,4,1,1,4
Nissan Terrano XL,0.785714286,650000,0.094221657,4,1,1,2
Hyundai Grand i10 CRDi Sportz,0.821428571,450000,0.099180757,1,1,1,0
Hyundai Elite i20 Diesel Era,0.964285714,650000,0.030993134,1,1,1,0
Honda Amaze S i-VTEC,0.857142857,495000,0.014823989,4,0,1,0
Honda Brio S MT,0.821428571,371000,0.024794259,4,0,1,0
Hyundai Creta 1.6 SX Option,0.892857143,1025000,0.011156735,4,0,1,0
Mercedes-Benz S-Class S 350d Connoisseurs Edition,0.892857143,8150000,0.008057297,1,0,0,0
Mahindra XUV500 W8 2WD,0.821428571,750000,0.086783007,1,1,1,0
Renault Duster 85PS Diesel RxL Optional,0.75,600000,0.148771755,1,1,1,0
Hyundai Santro Xing XO,0.535714286,80000,0.071905708,4,0,1,2
Mahindra Bolero 2011-2019 SLE,0.75,325000,0.077112762,1,0,1,0
Audi A6 2.0 TDI Premium Plus,0.785714286,1470000,0.042151109,1,0,0,2
Fiat Avventura MULTIJET Emotion,0.821428571,350000,0.065706833,1,1,1,2
Audi A8 4.2 TDI,0.75,2800000,0.060747733,1,0,0,0
Datsun RediGO 1.0 S,0.892857143,210000,0.018595385,4,0,1,2
Volkswagen Jetta 1.4 TSI Comfortline,0.75,450000,0.061987508,4,1,1,0
Audi A4 2.0 TDI 177 Bhp Premium Plus,0.75,1150000,0.065706833,1,0,0,0
Honda Civic 1.8 V AT,0.607142857,210000,0.07872447,4,0,0,0
Mercedes-Benz E-Class Exclusive E 200 BSIV,0.928571429,4500000,0.012148555,4,0,0,0
BMW X1 sDrive 20d xLine,0.892857143,2750000,0.016115835,1,1,0,0
Volvo V40 D3 R Design,0.928571429,1975000,0.026034034,1,0,0,0
Maruti SX4 Zxi BSIII,0.571428571,175000,0.036166715,4,0,1,0
BMW 7 Series 730Ld,0.714285714,2500000,0.059507958,1,0,0,0
Mahindra Bolero Power Plus SLX,0.892857143,628000,0.148771755,1,1,1,0
Hyundai Sonata CRDi M/T,0.642857143,600000,0.123976256,1,1,1,0
Nissan Micra Active XV Petrol,0.892857143,399000,0.037192009,4,1,1,0
Mahindra Xylo D4,0.928571429,750000,0.107859181,1,1,1,0
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,0.964285714,750000,0.018595385,4,1,1,0
Renault KWID RXT,0.892857143,315000,0.01983516,4,1,1,0
Mahindra Xylo E4 BS III,0.714285714,600000,0.074385258,1,1,1,0
Maruti Wagon R LXI Minor,0.642857143,100000,0.074385258,4,1,1,1
Maruti SX4 ZXI MT BSIV,0.678571429,250000,0.136374005,4,1,1,4
Renault KWID RXT,0.892857143,350000,0.030993134,4,1,1,0
Hyundai Creta 1.4 CRDi S,0.857142857,780000,0.074385258,1,1,1,0
Maruti Swift Dzire VDI,0.785714286,434000,0.098374903,1,1,1,2
Hyundai Verna 1.6 VTVT AT S Option,0.857142857,690000,0.099180757,4,1,0,0
Mahindra Scorpio LX BSIV,0.785714286,555000,0.111578506,1,1,1,2
Maruti SX4 Vxi BSIII,0.535714286,120000,0.111578506,4,1,1,2
Maruti Ertiga VDI,0.785714286,500000,0.148771755,1,1,1,2
Chevrolet Beat Diesel,0.75,165000,0.074385258,1,1,1,2
Maruti Zen LX,0.428571429,95000,0.061987508,4,1,1,0
Maruti Baleno Delta 1.2,0.928571429,550000,0.024794259,4,1,1,0
Maruti Swift Vdi BSIII,0.535714286,100000,0.136374005,1,1,1,1
Tata Nano Lx BSIV,0.714285714,100000,0.061987508,4,1,1,2
Toyota Innova 2.5 GX (Diesel) 8 Seater,0.714285714,500000,0.123976256,1,1,1,0
Maruti Ertiga SHVS VDI,0.857142857,800000,0.086783007,1,1,1,2
Hyundai Creta 1.6 CRDi SX,0.857142857,840000,0.086783007,1,1,1,2
Honda Amaze S i-Vtech,0.857142857,490000,0.061987508,4,1,1,0
Tata Indica Vista Aqua 1.4 TDI,0.642857143,125000,0.100420532,1,1,1,2
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,0.714285714,400000,0.148771755,1,1,1,4
Chevrolet Cruze LTZ,0.821428571,1000000,0.00446195,1,0,1,0
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,0.821428571,530000,0.017692828,4,0,1,0
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,0.892857143,840000,0.061011805,1,0,1,0
Hyundai i10 Sportz 1.1L,0.821428571,229999,0.049589758,4,1,1,0
Maruti 800 Std,0.214285714,40000,0.049589758,4,1,1,1
Chevrolet Spark 1.0 LS,0.714285714,130000,0.099180757,4,1,1,0
Hyundai EON Era Plus,0.821428571,200000,0.086783007,4,1,1,0
Tata Indica Vista Aqua TDI BSIII,0.678571429,120000,0.086783007,1,1,1,0
Hyundai Santro LP zipPlus,0.392857143,75000,0.070665933,4,1,1,0
Tata Bolt Quadrajet XE,0.857142857,250000,0.148771755,1,1,1,0
Maruti 800 AC BSIII,0.464285714,100000,0.037192009,4,1,1,0
Hyundai EON Era Plus,0.75,280000,0.004015631,4,1,1,2
Hyundai i20 Magna 1.2,0.821428571,540000,0.006197635,4,1,1,0
Hyundai i20 1.2 Asta,0.928571429,700000,0.01239651,4,1,1,0
Maruti Ciaz VDi Plus,0.821428571,525000,0.123976256,1,1,1,0
Hyundai i20 Asta 1.4 CRDi,0.857142857,430000,0.099180757,1,1,1,0
Hyundai Santro LE,0.357142857,65000,0.086783007,4,1,1,0
Maruti Vitara Brezza VDi,0.928571429,800000,0.043390884,1,1,1,0
Hyundai Santro Xing XL eRLX Euro III,0.535714286,75000,0.141333105,4,1,1,2
Hyundai Getz 1.3 GLS,0.571428571,210000,0.066663939,4,1,1,0
Mahindra Quanto C8,0.714285714,195000,0.173567254,1,1,1,2
Chevrolet Tavera Neo 3 LS 7 C BSIII,0.821428571,400000,0.148771755,1,1,1,0
Hyundai EON Magna Plus,0.714285714,170000,0.074385258,4,1,1,0
Renault KWID RXT,0.857142857,225000,0.030993134,4,1,1,0
Maruti Wagon R DUO LPG,0.785714286,210000,0.111578506,3,1,1,0
Maruti Wagon R LXI,1,240000,0.148771755,4,1,1,0
Chevrolet Enjoy 1.3 TCDi LS 8,0.821428571,300000,0.216959378,1,1,1,0
Chevrolet Spark 1.0 LS,0.678571429,99000,0.123976256,4,1,1,4
Honda City i VTEC SV,0.785714286,620000,0.044630659,4,1,1,0
Honda Amaze VX i-DTEC,0.75,500000,0.037192009,1,1,1,0
Jaguar XJ 5.0 L V8 Supercharged,0.642857143,2550000,0.049589758,4,1,0,2
Honda Brio E MT,0.75,260000,0.086783007,4,1,1,2
Maruti Swift VVT ZXI,0.892857143,550000,0.074385258,4,1,1,0
Tata Indigo CR4,0.678571429,150000,0.192783766,1,1,1,0
Hyundai i10 Asta AT,0.678571429,350000,0.061987508,4,1,0,2
Chevrolet Beat LT,0.857142857,320000,0.049589758,4,1,1,0
Maruti Swift VDI BSIV,0.821428571,400000,0.123976256,1,1,1,4
Maruti Alto LXi,0.714285714,175000,0.099180757,4,1,1,4
Chevrolet Beat LT,0.678571429,120000,0.111578506,4,1,1,2
Renault Duster 110PS Diesel RxZ,0.75,320000,0.111578506,1,1,1,2
Hyundai Santro Xing XG,0.5,70000,0.136374005,4,1,1,4
Maruti Swift Dzire ZXI Plus,0.964285714,810000,0.018595385,4,1,1,0
Maruti 800 AC,0.535714286,95000,0.123976256,4,1,1,2
Maruti Alto K10 LXI CNG,1,282000,0.049589758,0,1,1,0
Maruti 800 Std BSII,0.428571429,80000,0.074385258,4,1,1,2
Tata Nano LX SE,0.75,72000,0.030993134,4,1,1,0
Hyundai i20 Magna 1.2,0.857142857,600000,0.030993134,4,1,1,0
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,0.821428571,640000,0.028513584,4,1,1,0
Maruti Alto K10 VXI,0.928571429,380000,0.027465974,4,1,1,0
Maruti Ciaz 1.4 Delta,0.928571429,650000,0.086783007,4,1,1,0
Maruti Alto LX,0.607142857,150000,0.074385258,4,1,1,2
Hyundai i20 Asta,0.607142857,280000,0.136374005,4,1,1,2
Tata Nexon 1.2 Revotron XM,0.928571429,430000,0.037192009,4,1,1,0
Mahindra Bolero Power Plus SLX,0.964285714,800000,0.018595385,1,1,1,0
Maruti Zen D,0.392857143,75000,0.123976256,1,1,1,2
Volkswagen Vento Celeste 1.5 TDI Highline AT,0.857142857,650000,0.086783007,1,1,0,0
Maruti Eeco 7 Seater Standard BSIV,0.892857143,390000,0.029753359,4,1,1,0
Honda City 1.5 EXI,0.464285714,100000,0.148771755,4,1,1,2
Mercedes-Benz New C-Class 220 CDI AT,0.75,1500000,0.043390884,1,1,0,0
Maruti SX4 Zxi with Leather BSIII,0.535714286,175000,0.097172321,4,1,1,0
Renault Duster 110PS Diesel RxZ,0.714285714,434999,0.136374005,1,1,1,2
Ford Figo Diesel Titanium,0.642857143,170000,0.111578506,1,1,1,4
Ford Figo Diesel Titanium,0.678571429,190000,0.111578506,1,1,1,4
Maruti Swift Dzire VDi,0.607142857,250000,0.185965004,1,1,1,4
Mahindra Xylo E4,0.607142857,229999,0.285147,1,1,1,4
Maruti Esteem Vxi - BSIII,0.5,140000,0.086783007,4,1,1,4
Maruti Swift VDI BSIV,0.892857143,600000,0.099629555,1,1,1,0
Hyundai i20 1.2 Sportz,0.714285714,280000,0.136374005,4,1,1,4
Chevrolet Beat Diesel LT,0.714285714,150000,0.074385258,1,1,1,0
Chevrolet Cruze LTZ AT,0.821428571,650000,0.061987508,1,1,0,0
Nissan Micra XL,0.785714286,210000,0.049589758,4,1,1,2
BMW 5 Series 520d Luxury Line,0.892857143,2900000,0.049589758,1,1,0,0
Chevrolet Enjoy 1.3 TCDi LS 8,0.75,425000,0.024794259,1,0,1,0
Hyundai EON Era Plus Option,0.785714286,265000,0.068186383,4,0,1,0
Fiat Linea T Jet Emotion,0.928571429,890000,0.001407145,4,0,1,0
Renault Scala RxL,0.75,365000,0.068186383,4,0,1,0
Ford Figo Petrol Titanium,0.785714286,350000,0.053309083,4,0,1,0
Maruti Ciaz ZDi SHVS,0.857142857,685000,0.074385258,1,1,1,0
Skoda Rapid 1.5 TDI Ambition BSIV,0.928571429,940000,0.003284164,1,0,1,0
Mahindra XUV500 W6 2WD,0.892857143,1000000,0.049589758,1,1,1,0
Mahindra XUV300 W8 Option,0.964285714,1150000,0.018595385,4,0,1,0
Maruti Ertiga SHVS ZDI,0.857142857,450000,0.143765544,1,1,1,2
Nissan Terrano XE D,0.821428571,590000,0.080584132,1,0,1,0
Maruti S-Cross Facelift,0.892857143,800000,0.049589758,1,1,1,0
Hyundai i20 Magna 1.4 CRDi (Diesel),0.714285714,385000,0.071905708,1,0,1,0
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,0.75,2000000,0.018595385,1,1,0,0
Hyundai EON Era Plus,0.714285714,235000,0.066946608,4,0,1,0
Volkswagen Ameo 1.5 TDI Highline,0.892857143,640000,0.069426158,1,0,1,0
Maruti Alto LX,0.5,52000,0.148771755,4,1,1,4
Maruti Omni LPG CARGO BSIII W IMMOBILISER,0.607142857,80000,0.111578506,3,1,1,2
Maruti Alto LX,0.714285714,140000,0.086783007,4,1,1,2
Hyundai Verna i (Petrol),0.571428571,120000,0.111578506,4,1,1,2
Mahindra Renault Logan 1.5 DLS,0.571428571,89999,0.264070826,1,1,1,0
Chevrolet Optra Magnum 2.0 LS BSIII,0.714285714,180000,0.148771755,1,1,1,0
Mahindra Scorpio S11 BSIV,0.892857143,1500000,0.024794259,1,1,1,0
Hyundai i20 Active 1.2 SX,0.892857143,700000,0.01239651,4,1,1,0
Maruti SX4 Celebration Diesel,0.714285714,285000,0.099180757,1,1,1,2
Hyundai Grand i10 Magna,0.821428571,390000,0.111578506,4,1,1,0
Maruti Alto LXi BSIII,0.571428571,125000,0.099180757,4,1,1,0
Maruti SX4 Zxi with Leather BSIII,0.571428571,225000,0.074385258,4,1,1,2
Hyundai i10 Era,0.678571429,175000,0.172327479,4,1,1,2
Toyota Innova 2.5 V Diesel 7-seater,0.678571429,1075000,0.198362753,1,1,1,2
Honda Mobilio V i DTEC,0.785714286,300000,0.185965004,1,1,1,0
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,0.642857143,700000,0.202082078,1,1,1,1
Tata Indica V2 2001-2011 DLS BSIII,0.607142857,90000,0.148771755,1,0,1,0
Tata Indica Vista TDI LS,0.678571429,120000,0.148771755,1,1,1,2
Chevrolet Beat Diesel LS,0.714285714,220000,0.123976256,1,1,1,2
Tata Zest Quadrajet 1.3 75PS XE,0.821428571,300000,0.173567254,1,0,1,0
Skoda Fabia 1.2L Diesel Ambiente,0.642857143,180000,0.107859181,1,0,1,2
Maruti 800 Std,0.75,170000,0.086783007,4,1,1,0
Ford Figo Petrol Titanium,0.821428571,300000,0.061987508,4,1,1,2
Toyota Innova 2.5 VX (Diesel) 8 Seater,0.785714286,1050000,0.086783007,1,1,1,0
Honda Mobilio V i DTEC,0.785714286,300000,0.185965004,1,1,1,0
Hyundai Grand i10 1.2 CRDi Asta,0.928571429,465000,0.030993134,1,1,1,0
Chevrolet Beat Diesel LT,0.678571429,130000,0.099180757,1,1,1,2
Datsun GO Plus T Option Petrol,0.928571429,434999,0.01239651,4,1,1,0
Hyundai Grand i10 1.2 Kappa Asta,0.928571429,500000,0.039671559,4,1,1,0
Maruti Omni MPI STD BSIV,0.928571429,200000,0.01239651,4,1,1,0
Maruti Baleno Alpha 1.2,0.892857143,625000,0.064467058,4,0,1,0
Ford Fiesta Classic 1.4 SXI Duratorq,0.5,110000,0.148771755,1,1,1,4
Hyundai Elite i20 Asta Option BSIV,0.964285714,800000,0.013933831,4,1,1,0
Hyundai Grand i10 CRDi Magna,0.892857143,490000,0.081823907,1,0,1,0
Maruti Ertiga SHVS ZDI,0.892857143,880000,0.079344357,1,0,1,0
Hyundai Santro Xing GL Plus,0.75,290000,0.060747733,4,1,1,0
Tata Sumo GX TC 7 Str BSIII,0.5,115999,0.123976256,1,1,1,2
Renault KWID RXT,0.928571429,360000,0.032852797,4,1,1,0
Maruti 800 AC,0.357142857,65000,0.123976256,4,1,1,2
Maruti Vitara Brezza LDi Option,0.892857143,685000,0.089262557,1,0,1,0
Honda Jazz S,0.607142857,300000,0.061987508,4,1,1,0
Hyundai i20 1.4 Sportz,0.892857143,680000,0.054548858,1,0,1,0
Maruti Ertiga SHVS ZDI Plus,0.892857143,1000000,0.074385258,1,1,1,2
Tata Sumo SE Plus BSIII,0.357142857,100000,0.148771755,1,1,1,0
Mahindra Xylo E4,0.642857143,160000,0.161169505,1,1,1,0
Maruti Swift ZDi BSIV,0.892857143,450000,0.086783007,1,1,1,0
Maruti Ertiga VXI,0.785714286,600000,0.024794259,4,1,1,0
Hyundai i20 1.4 Magna ABS,0.607142857,180000,0.074385258,1,1,1,2
Maruti Alto LXi,0.535714286,100000,0.241754877,4,1,1,0
Maruti Alto LXi,0.642857143,120000,0.111578506,4,1,1,2
Hyundai Getz GL,0.5,130000,0.099180757,4,1,1,4
Maruti Wagon R LX BS IV,0.678571429,160000,0.192163878,4,1,1,0
Mahindra Bolero Power Plus SLX,0.964285714,860000,0.043390884,1,1,1,0
Hyundai i20 1.2 Spotz,0.928571429,650000,0.024794259,4,1,1,2
Maruti Wagon R LXI Minor,0.642857143,100000,0.099180757,4,1,1,2
Maruti Alto 800 VXI,0.892857143,282000,0.024794259,4,1,1,0
Hyundai i20 Asta (o),0.607142857,300000,0.061987508,4,1,1,0
Hyundai i20 Asta,0.642857143,270000,0.136374005,4,1,1,2
Hyundai Verna 1.6 SX CRDi (O),0.75,550000,0.035952234,1,1,1,0
Mahindra Xylo D2 BSIV,0.75,450000,0.148771755,1,1,1,0
Mahindra Bolero SLX 2WD BSIII,0.678571429,430000,0.086783007,1,1,1,2
Maruti Ertiga VXI ABS,0.75,350000,0.049589758,4,1,1,0
Honda Brio 1.2 E MT,0.892857143,350000,0.024794259,4,1,1,0
Toyota Etios Liva G,0.75,229999,0.061987508,4,1,1,2
Maruti Alto 800 LXI,0.75,110000,0.061987508,4,1,1,0
Maruti Swift Dzire 1.2 Vxi BSIV,0.714285714,395000,0.060747733,4,1,1,2
Mahindra Scorpio VLS AT 2.2 mHAWK,0.678571429,650000,0.086783007,1,1,0,2
Mahindra Bolero SLX,0.678571429,350000,0.111578506,1,1,1,2
Mahindra XUV500 W11 Option AWD,1,1400000,0.030993134,1,0,1,0
Tata Tiago 1.2 Revotron XZ,0.928571429,360000,0.00495786,4,1,1,0
Mahindra Marazzo M8 8Str,0.928571429,1300000,0.01239651,1,1,1,0
Renault Duster 110PS Diesel RxL,0.821428571,800000,0.018595385,1,1,1,0
Hyundai EON Magna Plus,0.928571429,229999,0.037192009,4,1,1,0
Maruti Wagon R VXI,0.785714286,315000,0.050829533,4,0,1,0
Chevrolet Spark 1.0 LT,0.714285714,125000,0.034712459,4,1,1,0
Maruti Baleno Alpha,0.964285714,700000,0.01983516,4,1,1,0
Hyundai EON 1.0 Kappa Magna Plus,0.821428571,160000,0.086783007,4,1,1,0
Ford Figo Aspire 1.2 Ti-VCT Trend,0.892857143,530000,0.013428003,4,0,1,0
Ford Figo Aspire Facelift,0.928571429,624000,0.018199896,1,0,1,0
Hyundai i10 Era,0.607142857,250000,0.061987508,4,1,1,0
Mahindra Bolero SLX,0.857142857,585000,0.063227283,1,0,1,0
Hyundai Verna 1.4 VTVT,0.821428571,500000,0.030993134,4,1,1,0
Chevrolet Sail 1.2 LT ABS,0.785714286,350000,0.037192009,4,1,1,0
Honda City i-DTEC SV,0.785714286,495000,0.099180757,1,0,1,0
Hyundai Grand i10 1.2 Kappa Asta,0.892857143,500000,0.061987508,4,1,1,0
Mahindra Bolero Power Plus Plus AC BSIV PS,0.821428571,430000,0.247953751,1,1,1,0
Hyundai Grand i10 1.2 Kappa Sportz Option,0.75,345000,0.054548858,4,0,1,0
Maruti Baleno Sigma 1.2,0.821428571,500000,0.01239651,4,1,1,0
Tata Tiago 1.2 Revotron XZ,0.964285714,425000,0.024298349,4,1,1,0
Maruti Wagon R LXI,0.464285714,80000,0.049589758,4,1,1,2
Chevrolet Beat Diesel LS,0.678571429,106000,0.061987508,1,1,1,0
Maruti A-Star Vxi,0.607142857,180000,0.057933444,4,1,1,0
Datsun GO A,0.821428571,250000,0.049589758,4,1,1,2
Skoda Yeti Ambition 4WD,0.678571429,350000,0.099180757,1,1,1,0
Maruti Zen LXi BSII,0.357142857,60000,0.099180757,4,1,1,2
Hyundai Verna CRDi 1.6 EX,0.928571429,900000,0.029753359,1,1,1,0
Ford Aspire Titanium Diesel BSIV,0.892857143,700000,0.026244796,1,0,1,0
BMW 3 Series 320d Sport,0.75,2000000,0.207317648,1,0,0,0
Maruti Ertiga SHVS ZDI Plus,0.892857143,1000000,0.049589758,1,1,1,0
BMW X1 sDrive 20d Exclusive,0.678571429,1375000,0.074385258,1,1,0,0
Toyota Innova Crysta 2.4 VX MT,0.857142857,1800000,0.17535253,1,0,1,0
Chevrolet Tavera Neo 3 10 Seats BSIV,0.535714286,160000,0.148771755,1,1,1,4
Mitsubishi Outlander 2.4,0.714285714,525000,0.173567254,4,1,0,0
Mahindra XUV500 W8 2WD,0.714285714,850000,0.263840228,1,0,1,0
Maruti Baleno Alpha 1.3,0.964285714,800000,0.037192009,1,1,1,0
Ford Figo Aspire 1.5 TDCi Titanium,0.892857143,700000,0.109886213,1,0,1,0
Maruti Swift Dzire VDI,0.928571429,800000,0.030993134,1,1,1,0
Hyundai i20 1.2 Spotz,0.892857143,575000,0.024794259,4,1,1,2
Renault Duster 110PS Diesel RxZ,0.714285714,350000,0.136374005,1,1,1,2
Maruti Swift Vdi BSIII,0.571428571,250000,0.148771755,1,1,1,4
Ford Endeavour Titanium 4X2,0.678571429,600000,0.185560837,1,0,1,2
Mahindra Scorpio 2.6 Turbo 9 Str,0.535714286,370000,0.123976256,1,1,1,4
Maruti Baleno Vxi,0.5,80000,0.148771755,4,1,1,4
Tata Indica DLX,0.392857143,50000,0.148771755,1,1,1,2
Hyundai Verna CRDi 1.6 EX,0.928571429,900000,0.030993134,1,1,1,0
Maruti Wagon R VXI BS IV,0.785714286,300000,0.043390884,4,1,1,2
Tata Indica LSI,0.357142857,125000,0.049589758,4,1,1,0
Maruti Swift Dzire VDI,0.821428571,490000,0.074385258,1,1,1,2
Toyota Etios Liva GD,0.714285714,300000,0.061987508,1,1,1,2
Tata Nano STD,0.75,55000,0.030993134,4,1,1,1
Hyundai Grand i10 Sportz,0.857142857,350000,0.030993134,4,1,1,0
Hyundai Grand i10 1.2 CRDi Asta,0.964285714,755000,0.00991696,1,1,1,0
Maruti Ertiga SHVS VDI,0.892857143,720000,0.074385258,1,1,1,0
Mahindra Bolero SLX,0.5,229999,0.247953751,1,1,1,4
Mahindra Scorpio S7 140 BSIV,0.928571429,1100000,0.024794259,1,1,1,0
Volkswagen Polo Petrol Comfortline 1.2L,0.75,400000,0.123976256,4,1,1,0
